participant,juego_x,pupil_mean,pupil_std,movimiento_mean,gaze_x_var,gaze_y_var,juego_normalizado,ID,Hora de inicio,Hora de finalización,Indique su año de nacimiento,Asco,Ira/enfado,Ansiedad,Miedo,Frustración,Entusiasmo/Excitación,Alegría,Felicidad/placer,Tristeza/depresión,Fatiga/cansancio,Aburrimiento,Satisfacción,Relax,Indiferencia,¿Hiciste una segunda ronda de juego?,Asco2,Ira/enfado2,Ansiedad2,Miedo2,Frustración2,Entusiasmo/Excitación2,Alegría2,Felicidad/placer2,Tristeza/depresión2,Fatiga/cansancio2,Aburrimiento2,Satisfacción2,Relax2,Indiferencia2,nasa_mental,Del 1 (Muy baja) al 10 (Muy alta): ¿Cuánta demanda física sentiste mientras jugabas?,Del 1 (Muy baja) al 10 (Muy alta): ¿Cómo sentiste la rapidez requerida para cumplir con los tiempos impuestos en el juego?,Del 1 (Muy poco satisfecho/a) al 10 (Muy satisfecho/a): ¿Cómo te sientes con tu rendimiento durante el juego?,Del 1 (Muy bajo) al 10 (Muy alto): ¿Cuánto esfuerzo (combinando el mental y físico) tuviste que poner para cumplir con tus expectativas de rendimiento?,nasa_frustracion,juego_y,¿Se pudo jugar a las primeras partidas?,¿Se pudo jugar a las partidas siguientes?,afecto_positivo,afecto_negativo,balance_emocional
eg08041310,FallGuys,3.3665601669941068,0.6186598645707685,24.580704096234655,0.07138921944625445,0.1720136608072498,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eg08041310,Sonic,3.5279072584616404,0.36087015519990795,19.89298469357053,0.05732704430320068,0.17273594020591057,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eg08041310,Tetris,3.4350999574045162,0.3602888310033552,17.03775479322241,0.0527089299647808,0.17416781618429328,tetris,45.0,2025-04-08 13:32:49,2025-04-08 13:34:24,2006,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,Nada,,,,,,,,,,,,,,,,7.0,8.0,8.0,1.0,1.0,9.0,TETRIS,,,1.6,3.75,-2.15
hp15011600,FallGuys,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp15011600,Sonic,4.006763946711075,0.15911747597637774,11.980957732688756,0.024512750066526603,0.05506137373766113,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp15011600,Tetris,3.8910878965221616,0.16448771194952586,12.46940187775733,0.019343355050908527,0.051891763015856594,tetris,11.0,2025-01-15 16:34:25,2025-01-15 16:38:18,2005,1.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,3.0,Ni mucho ni poco,,,,,,,,,,,,,,,,6.0,7.0,8.0,7.0,7.0,6.0,TETRIS,,,4.4,2.0,2.4000000000000004
jj04111142,FallGuys,3.2492444281599036,0.28061350469132185,15.221187253854653,0.06457581868240674,0.08795105866581994,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jj04111142,Sonic,3.3346233301031365,0.19597327740283194,15.963517104681765,0.05575298325845021,0.1227324191159953,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jj04111142,Tetris,3.149459404525459,0.2056436072859673,15.620281251186402,0.04981016736509475,0.1486412896663654,tetris,1.0,2024-11-04 12:10:21,2024-11-04 12:11:58,2000,1.0,3.0,6.0,2.0,7.0,5.0,5.0,6.0,4.0,3.0,3.0,5.0,1.0,Casi nada,,,,,,,,,,,,,,,,8.0,3.0,6.0,5.0,8.0,8.0,TETRIS,,,4.4,3.625,0.7750000000000004
jj22111100,FallGuys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jj22111100,Sonic,3.2262644904356734,0.18483482349636018,14.010172136682089,0.03565829626954385,0.07927215207164824,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jj22111100,Tetris,3.2262644904356734,0.18483482349636018,14.010172136682089,0.03565829626954385,0.07927215207164824,tetris,8.0,2024-11-22 11:27:46,2024-11-22 11:30:09,2003,1.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,Poco,,,,,,,,,,,,,,,,6.0,7.0,8.0,9.0,7.0,3.0,TETRIS,,,4.6,2.375,2.2249999999999996
mc08041200,FallGuys,3.437296381751443,0.2838345629607003,16.499681647117193,0.07479404821463509,0.12452568142002451,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc08041200,Sonic,3.4413641089313804,0.26277548007771606,14.288827479868578,0.057479199995067606,0.1337424659534702,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc08041200,Tetris,3.2715716284173,0.18698912287113137,14.01132688734993,0.039941596337683016,0.11856447005252603,tetris,44.0,2025-04-08 12:32:32,2025-04-08 12:34:13,2004,1.0,1.0,3.0,1.0,5.0,6.0,6.0,6.0,1.0,1.0,2.0,6.0,3.0,Casi nada,,,,,,,,,,,,,,,,4.0,4.0,5.0,9.0,6.0,6.0,TETRIS,,,5.4,1.875,3.5250000000000004
ra26021030,FallGuys,2.945002161160853,0.16214354523230878,16.478195927928525,0.05284792903745367,0.0905586133424476,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra26021030,Sonic,3.0833603901338074,0.17487813954992382,17.097802148402515,0.03894102567304434,0.11702369791907791,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra26021030,Tetris,3.007210162844233,0.14763980301674898,16.803156909681505,0.03816682742447787,0.13231512831728612,tetris,24.0,2025-02-26 11:01:28,2025-02-26 11:04:47,2003,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,Casi nada,,,,,,,,,,,,,,,,5.0,1.0,5.0,7.0,5.0,2.0,TETRIS,,,4.6,1.375,3.2249999999999996
td22110900,FallGuys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
td22110900,Sonic,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
td22110900,Tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,tetris,7.0,2024-11-22 09:16:40,2024-11-22 09:18:36,2003,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,Poco,,,,,,,,,,,,,,,,6.0,3.0,3.0,3.0,8.0,4.0,TETRIS,,,1.8,1.5,0.30000000000000004
td22110900,Tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,tetris,9.0,2024-11-28 09:24:39,2024-11-28 09:26:26,2003,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,Poco,,,,,,,,,,,,,,,,7.0,3.0,3.0,5.0,6.0,3.0,TETRIS,,,1.8,1.75,0.050000000000000044
td22110900,Tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,tetris,10.0,2024-12-13 09:16:45,2024-12-13 09:18:09,2003,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,Nada,,,,,,,,,,,,,,,,6.0,7.0,9.0,8.0,8.0,5.0,TETRIS,,,2.6,1.875,0.7250000000000001
td22110900,Tetris,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,tetris,12.0,2025-01-20 11:17:07,2025-01-20 11:18:16,2003,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,Nada,,,,,,,,,,,,,,,,7.0,4.0,9.0,7.0,7.0,3.0,TETRIS,,,2.8,2.25,0.5499999999999998
zz04110900,FallGuys,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz04110900,Sonic,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz04110900,Tetris,3.8190623708499802,0.29286037049956054,14.11284940431236,0.07781359741092896,0.1497321012917877,tetris,27.0,2025-03-05 12:37:15,2025-03-05 12:39:22,1999,1.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,Nada,,,,,,,,,,,,,,,,6.0,1.0,3.0,7.0,6.0,5.0,TETRIS,,,3.6,1.875,1.725
zz06110900,FallGuys,3.3280223265654585,0.29357764847440315,13.660793783744774,0.06279889170765918,0.08506579499516997,fallguys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz06110900,Sonic,3.3931688233230703,0.31712244811256285,14.686812989811173,0.062168297756669044,0.09537159083890769,sonic racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zz06110900,Tetris,3.247655683254461,0.22793654517540904,15.11432433317516,0.06382078078967258,0.14442590793238616,tetris,2.0,2024-11-06 09:34:10,2024-11-06 09:36:15,2001,1.0,1.0,5.0,1.0,4.0,4.0,3.0,5.0,2.0,4.0,1.0,4.0,1.0,Poco,,,,,,,,,,,,,,,,8.0,4.0,7.0,8.0,9.0,8.0,TETRIS,,,3.4,2.375,1.025
