timestamp_x,gaze2d_x,gaze2d_y,gaze3d_x,gaze3d_y,gaze3d_z,pupil_left,pupil_right,ts_rel,timestamp_y,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,juego,timestamp_abs,participant
0.001726,0.46120000000000017,0.5986000000000002,64.64000000000001,-119.64000000000003,822.8800000000001,3.931000000000001,4.050000000000001,0.0,0.007991,0.6655972626128,9.423921780431249,-2.5930178390182648,6.534819339999999,-0.38628957851870405,4.332143832758133,Sonic,0.001726,HP15011600
0.021818,0.4611000000000001,0.5986000000000002,64.79,-119.86000000000003,824.0700000000002,3.925000000000001,4.047000000000001,0.020092,0.024552,0.670385732128,9.438120302434422,-2.5837972112016083,6.2806044,-0.3394764207014038,4.444496566702248,Sonic,0.021817999999999997,HP15011600
0.041799,0.46100000000000013,0.5982000000000002,65.04,-119.64000000000003,825.5500000000002,3.922000000000001,4.044000000000001,0.040073000000000004,0.041113,0.6817583472266001,9.474069227347783,-2.5816474978441257,6.25817367,-0.45246536416972816,4.5602404928044855,Sonic,0.041799,HP15011600
0.061891,0.46100000000000013,0.5982000000000002,65.01000000000002,-119.52000000000002,824.8600000000001,3.917000000000001,4.038000000000001,0.060165,0.065954,0.7086934882496,9.491845726394162,-2.5872618020751634,5.85442053,-0.277117892195634,4.629984516365523,Sonic,0.061891,HP15011600
0.081871,0.4611000000000001,0.5984000000000002,65.25000000000001,-120.44000000000003,829.6200000000001,3.910000000000001,4.027000000000001,0.080145,0.082515,0.6877439341206,9.496207145593166,-2.595532020567742,5.42823666,0.004364165447187096,4.623661295821596,Sonic,0.081871,HP15011600
0.101964,0.46140000000000014,0.5984000000000002,63.930000000000014,-119.07000000000002,820.0400000000002,3.906000000000001,4.023000000000001,0.100238,0.099076,0.6518304127566,9.489011783779327,-2.617867902223425,5.01700661,0.155757371864367,4.652633264088831,Sonic,0.101964,HP15011600
0.121943,0.46170000000000017,0.5988000000000002,62.49000000000001,-117.72000000000003,808.3800000000001,3.905000000000001,4.017000000000001,0.12021699999999999,0.123918,0.6338736520746,9.431660101176963,-2.545096271214457,4.20202342,-0.129292923688467,4.606207296560498,Sonic,0.121943,HP15011600
0.142036,0.46200000000000013,0.5994000000000002,61.140000000000015,-116.66000000000003,797.0100000000001,3.900000000000001,4.010000000000001,0.14031,0.140479,0.6781669950902001,9.492255826485971,-2.582453524756535,3.8580855599999997,-0.5088547636353509,4.8703404272107615,Sonic,0.142036,HP15011600
0.162016,0.46150000000000013,0.5989000000000002,63.58000000000001,-119.15000000000002,817.3100000000002,3.899000000000001,4.011000000000001,0.16029,0.16532,0.6721814081962,9.500576976277575,-2.58361030897632,3.23750203,-0.6664661183279189,4.812114372655864,Sonic,0.162016,HP15011600
0.182109,0.44660000000000016,0.5423000000000002,97.65000000000002,-70.22000000000001,886.4100000000002,3.8520000000000008,4.047000000000001,0.180383,0.181881,0.7051021361131999,9.540587494381585,-2.5853835681836195,2.60944159,-0.6772428055413089,5.013147693007607,Sonic,0.182109,HP15011600
0.202089,0.44120000000000015,0.42600000000000016,109.12000000000002,51.35000000000001,882.3700000000001,3.9690000000000007,4.080000000000001,0.20036299999999999,0.198442,0.6949266383934,9.578151585205958,-2.6245765358036226,1.72716621,-0.617816305421343,5.076955686313686,Sonic,0.202089,HP15011600
0.222181,0.4440000000000001,0.4022000000000001,89.07000000000002,65.15,753.3400000000001,3.987000000000001,4.070000000000001,0.22045499999999998,0.223284,0.6835540232948,9.502551310981367,-2.6146265092163885,0.32150713,-0.2441904957294181,4.92874352751755,Sonic,0.222181,HP15011600
0.242161,0.44330000000000014,0.39900000000000013,90.44000000000001,68.23000000000002,755.6000000000001,3.984000000000001,4.102000000000001,0.24043499999999998,0.239845,0.6745756429538,9.454717432504404,-2.609354550807321,-0.17196893,-0.33651129353041176,5.177685378983124,Sonic,0.242161,HP15011600
0.262255,0.44330000000000014,0.40100000000000013,91.48000000000002,67.24000000000001,764.6100000000001,3.956000000000001,4.112000000000001,0.260529,0.264686,0.691335286257,9.410707313693779,-2.540030687701096,-0.19439966,-0.353434155535839,4.990183728478684,Sonic,0.262255,HP15011600
0.282234,0.4435000000000001,0.40040000000000014,88.61000000000001,65.92000000000002,743.3300000000002,3.950000000000001,4.122000000000001,0.280508,0.281247,0.7254531315528,9.405593448581,-2.5065113670965617,-0.19439966,-0.30443025112548283,5.040919215709776,Sonic,0.282234,HP15011600
0.302326,0.4435000000000001,0.40050000000000013,90.79000000000002,67.40000000000002,761.6800000000002,3.9650000000000007,4.132000000000001,0.3006,0.306089,0.739219981409,9.39089402507298,-2.4403580306413417,0.26169185,0.0869316758479679,4.904225025919779,Sonic,0.302326,HP15011600
0.322306,0.44360000000000016,0.40240000000000015,90.38000000000002,65.49000000000001,759.2700000000001,3.972000000000001,4.133000000000001,0.32058,0.32265,0.715277633833,9.335700467313504,-2.383343394461734,0.64301426,0.367849497449931,4.607551689092268,Sonic,0.322306,HP15011600
0.342398,0.4435000000000001,0.4033000000000001,90.31000000000002,64.54,757.8200000000002,3.9730000000000008,4.136000000000001,0.340672,0.339211,0.6877439341206,9.329291197355067,-2.3501606578933703,1.31593616,0.5101645006892701,4.12630873014612,Sonic,0.342398,HP15011600
0.362379,0.4434000000000001,0.4048000000000001,89.68000000000002,62.680000000000014,751.7800000000002,3.980000000000001,4.136000000000001,0.360653,0.364052,0.6979194318404001,9.337470614434608,-2.265616997103862,2.37765738,0.4085884539585451,3.9720885676116753,Sonic,0.362379,HP15011600
0.382471,0.44360000000000016,0.40590000000000015,89.17000000000002,61.530000000000015,749.4100000000002,3.9810000000000008,4.132000000000001,0.380745,0.380613,0.6931309623252,9.375257903125501,-2.2375450135620847,2.990764,0.359407503796299,4.028405993593947,Sonic,0.382471,HP15011600
0.402452,0.44360000000000016,0.40740000000000015,88.97000000000001,60.15000000000001,748.9200000000002,3.983000000000001,4.133000000000001,0.40072599999999997,0.405455,0.6997151079086,9.386879788708573,-2.237567598318697,3.94780848,0.29559951049022104,4.087832493713913,Sonic,0.402452,HP15011600
0.422543,0.44370000000000015,0.40840000000000015,88.38000000000002,58.96000000000001,745.2300000000001,3.990000000000001,4.131000000000001,0.420817,0.422016,0.6925324036358,9.395582692049569,-2.2167760162179944,4.68054566,0.14731537821073504,4.07348756859051,Sonic,0.422543,HP15011600
0.442524,0.44390000000000013,0.40940000000000015,88.24000000000002,58.21000000000001,745.8000000000002,3.990000000000001,4.133000000000001,0.44079799999999997,0.438577,0.6919338449464,9.434823941268991,-2.23368403348134,5.0693449799999994,-0.06350432832641095,3.980707607017197,Sonic,0.442524,HP15011600
0.462616,0.4440000000000001,0.4103000000000001,88.25000000000001,57.56000000000001,748.1700000000002,3.996000000000001,4.137000000000001,0.46089,0.463418,0.6841525819841999,9.492698647746229,-2.243537959256324,5.58525177,-0.1400307362036941,3.836450876420043,Sonic,0.462616,HP15011600
0.482597,0.44420000000000015,0.41140000000000015,88.10000000000002,56.73000000000001,749.8400000000001,4.001000000000001,4.132000000000001,0.480871,0.482298,,,,,,,Sonic,0.482597,HP15011600
0.502689,0.44460000000000016,0.4117000000000001,88.18000000000002,56.91000000000001,755.9200000000002,4.006000000000001,4.131000000000001,0.500963,0.504821,0.7068978121813999,9.549526844087136,-2.252557511576486,5.26374464,-0.03735931617644106,3.959862415597977,Sonic,0.502689,HP15011600
0.522669,0.4460000000000001,0.4142000000000001,91.02000000000002,57.91000000000001,800.4000000000002,4.009000000000001,4.122000000000001,0.520943,0.521382,0.694328079704,9.549388223461264,-2.244572945821052,5.12916026,0.008253396075792008,3.850795801543446,Sonic,0.522669,HP15011600
